image_id,brightness,contrast
Chungju_jogogli_20201020_1300_TUE_15m_RH_highway_TW2_sunny_FHD_013,125.57976531982422,56.03907775878906
Jeonju_gudeog_20201020_2000_TUE_15m_NH_highway_TW3_sunny_FHD_078,108.9903793334961,49.094547271728516
Suwon_CH07_20200720_1800_MON_9m_NH_highway_OW5_sunny_FHD_094,93.09870147705078,22.947595596313477
Hongcheon_guljitunnel_20201021_0930_WED_15m_NH_highway_TW2_sunny_FHD_001,110.35948944091797,46.642127990722656
Hongcheon_wonchang4brdg_20201021_1500_WED_15m_NH_highway_OW2_sunny_FHD_092,96.2638168334961,56.81064987182617
Hongcheon_seomgangbrdg_20201020_0900_TUE_15m_NH_highway_TW2_sunny_FHD_067,119.76425170898438,84.12130737304688
Jincheon_namioverpass_20201019_1900_MON_15m_NH_highway_OW2_sunny_FHD_063,100.4212646484375,56.04041290283203
Suwon_CH10_20200720_2030_MON_9m_NH_highway_TW5_sunny_FHD_004,56.98274612426758,19.31206703186035
Hongcheon_guljitunnel_20201021_0930_WED_15m_NH_highway_TW2_sunny_FHD_004,106.04441833496094,45.21868133544922
Gangneung_gangdong2brdg_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD_088,110.3478775024414,71.1724853515625
Hongcheon_seomgangbrdg_20201020_0900_TUE_15m_NH_highway_TW2_sunny_FHD_046,124.2431869506836,86.18305969238281
Chungju_sangwoo1brdg_20201021_1530_WED_15m_NH_highway_TW2_sunny_HD_034,100.80664825439453,41.15855407714844
Busan_busanportbrdg4_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD_053,163.80604553222656,59.133094787597656
Jeonju_deungcheon_20201020_1300_TUE_10m_NH_highway_TW2_sunny_FHD_036,113.87582397460938,39.362972259521484
Cheonan_seongnam2_20201021_0930_WED_10m_RH_highway_TW3_sunny_FHD_002,112.90345764160156,41.042579650878906
Cheonan_ogsan_20201020_1100_TUE_15m_RH_highway_TW3_sunny_FHD_096,115.500732421875,43.37465286254883
Buan_soju2brdg_20201020_0800_TUE_15m_NH_highway_TW2_fog_FHD_099,129.28408813476562,41.60989761352539
Chungju_chujeomtunnel(yangpyeong)_20201020_0730_TUE_15m_NH_highway_OW2_fog_FHD_101,121.81006622314453,53.52001953125
Suwon_CH10_20201011_1957_SUN_9m_NH_highway_OW5_sunny_FHD_058,68.78141784667969,21.363304138183594
Busan_busanportbrdg5_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD_098,168.9195098876953,51.67745590209961
Buan_dongjisan_20201021_0800_WED_15m_NH_highway_TW2_sunny_FHD_076,127.86759948730469,48.35829544067383
Hongcheon_guljitunnel_20201021_1430_WED_15m_NH_highway_TW2_sunny_FHD_074,108.55921173095703,50.56074905395508
Buan_yulchon_20201021_1000_WED_15m_NH_highway_TW2_sunny_FHD_088,110.45769500732422,51.99712371826172
Suwon_CH05_20200720_1700_MON_9m_NH_highway_OW5_sunny_FHD_033,109.9411849975586,36.765846252441406
