scene_id,group,frames,occ_median,v_median,delay_median,jam_share,slow_share,level_median,detour_check,lane_occ_spread_median
Buan_soju2brdg_20201020_1300_TUE_15m_NH_highway_TW2_sunny_FHD,toward,96,0.0592,90.15,0.0655,0.0,0.0,원활,False,0.0771
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view0,all,73,0.0619,89.7,0.069,0.0,0.0,원활,False,
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view0,away,73,0.0442,92.6,0.048,0.0,0.0,원활,False,0.0522
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view0,toward,73,0.0824,86.3,0.095,0.0,0.0274,원활,False,0.0727
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view1,all,17,0.0297,95.0,0.032,0.0,0.0,원활,False,
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view1,away,17,0.0334,94.4,0.036,0.0,0.0,원활,False,0.0467
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view1,toward,17,0.0209,96.5,0.022,0.0,0.0,원활,False,0.0377
Buan_soju2brdg_20201021_1330_WED_15m_NH_highway_TW2_sunny_FHD,all,86,0.0805,86.6,0.093,0.0,0.0,원활,False,
Buan_soju2brdg_20201021_1330_WED_15m_NH_highway_TW2_sunny_FHD,away,86,0.0599,90.0,0.0665,0.0,0.0,원활,False,0.0878
Buan_soju2brdg_20201021_1330_WED_15m_NH_highway_TW2_sunny_FHD,toward,86,0.0915,84.75,0.108,0.0,0.0581,원활,False,0.0381
Buan_yeji_20201019_1600_MON_15m_NH_highway_TW2_sunny_FHD,all,69,0.0216,96.4,0.022,0.0,0.0,원활,False,
Buan_yeji_20201019_1600_MON_15m_NH_highway_TW2_sunny_FHD,away,69,0.0218,96.4,0.022,0.0,0.0,원활,False,0.0
Buan_yeji_20201019_1600_MON_15m_NH_highway_TW2_sunny_FHD,toward,69,0.0173,97.1,0.018,0.0,0.0,원활,False,0.0302
Buan_yeji_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD,all,44,0.0141,97.6,0.015,0.0,0.0,원활,False,
Buan_yeji_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD,away,44,0.0071,98.8,0.007,0.0,0.0,원활,False,0.0172
Buan_yeji_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD,toward,44,0.0202,96.65,0.0205,0.0,0.0,원활,False,0.0106
Buan_yeji_20201021_0730_WED_15m_NH_highway_TW2_sunny_FHD,all,47,0.0157,97.4,0.016,0.0,0.0,원활,False,
Buan_yeji_20201021_0730_WED_15m_NH_highway_TW2_sunny_FHD,away,47,0.0282,95.3,0.03,0.0,0.0,원활,False,0.0
Buan_yeji_20201021_0730_WED_15m_NH_highway_TW2_sunny_FHD,toward,47,0.0079,98.7,0.008,0.0,0.0,원활,False,0.0182
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view0,all,47,0.0201,96.7,0.02,0.0,0.0,원활,False,
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view0,away,47,0.0221,96.3,0.023,0.0,0.0,원활,False,0.0
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view0,toward,47,0.0175,97.1,0.018,0.0,0.0,원활,False,0.0312
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view1,all,29,0.0249,95.9,0.026,0.0,0.0,원활,False,
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view1,away,29,0.0195,96.8,0.02,0.0,0.0,원활,False,0.0416
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view1,toward,29,0.0335,94.4,0.036,0.0,0.0,원활,False,0.0207
Buan_yeji_20201021_1730_WED_15m_NH_highway_TW2_rainy_FHD,all,66,0.0102,98.3,0.01,0.0,0.0,원활,False,
Buan_yeji_20201021_1730_WED_15m_NH_highway_TW2_rainy_FHD,away,66,0.0099,98.3,0.01,0.0,0.0,원활,False,0.018
Buan_yeji_20201021_1730_WED_15m_NH_highway_TW2_rainy_FHD,toward,66,0.0045,99.3,0.004,0.0,0.0,원활,False,0.0058
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view0,all,48,0.0243,95.95,0.0255,0.0,0.0,원활,False,
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view0,away,48,0.0306,94.9,0.032,0.0,0.0,원활,False,0.0292
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view0,toward,48,0.0097,98.4,0.01,0.0,0.0,원활,False,0.007
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view1,all,28,0.0284,95.3,0.0295,0.0,0.0,원활,False,
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view1,away,28,0.034,94.3,0.036,0.0,0.0,원활,False,0.0403
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view1,toward,28,0.0143,97.6,0.0145,0.0,0.0,원활,False,0.0147
Buan_yulchon_20201020_1600_TUE_15m_NH_highway_TW2_sunny_FHD,all,81,0.0133,97.8,0.013,0.0,0.0,원활,False,
Buan_yulchon_20201020_1600_TUE_15m_NH_highway_TW2_sunny_FHD,away,81,0.0102,98.3,0.01,0.0,0.0,원활,False,0.0094
Buan_yulchon_20201020_1600_TUE_15m_NH_highway_TW2_sunny_FHD,toward,81,0.0137,97.7,0.014,0.0,0.0,원활,False,0.0134
Buan_yulchon_20201021_1000_WED_15m_NH_highway_TW2_sunny_FHD,all,76,0.0157,97.4,0.016,0.0,0.0,원활,False,
Buan_yulchon_20201021_1000_WED_15m_NH_highway_TW2_sunny_FHD,away,76,0.0159,97.3,0.017,0.0,0.0,원활,False,0.0111
Buan_yulchon_20201021_1000_WED_15m_NH_highway_TW2_sunny_FHD,toward,76,0.0164,97.25,0.017,0.0,0.0,원활,False,0.0228
Buan_yulchon_20201021_1500_WED_15m_NH_highway_TW2_sunny_FHD,all,67,0.0107,98.2,0.011,0.0,0.0,원활,False,
Buan_yulchon_20201021_1500_WED_15m_NH_highway_TW2_sunny_FHD,away,67,0.0072,98.8,0.007,0.0,0.0,원활,False,0.0101
Buan_yulchon_20201021_1500_WED_15m_NH_highway_TW2_sunny_FHD,toward,67,0.0096,98.4,0.01,0.0,0.0,원활,False,0.0094
Busan_busanportbrdg1_20201027_1430_TUE_8m_NH_highway_TW2_sunny_FHD,all,86,0.0327,94.5,0.035,0.0,0.0,원활,False,
Busan_busanportbrdg1_20201027_1430_TUE_8m_NH_highway_TW2_sunny_FHD,away,86,0.0297,95.1,0.031,0.0,0.0,원활,False,0.0631
Busan_busanportbrdg1_20201027_1430_TUE_8m_NH_highway_TW2_sunny_FHD,toward,86,0.0288,95.2,0.0305,0.0,0.0,원활,False,0.0226
